ID	ELEMENT SYMBOL	ENERGY	INTENSITY	ISOTOPE ABUNDANCE
90190010149	F	4951.900	6.458e-03	1.000e+00
90190010150	F	4954.860	2.188e-03	1.000e+00
90190010151	F	4960.307	2.813e-03	1.000e+00
90190010152	F	5033.530	6.563e-02	1.000e+00
90190010153	F	5279.360	4.385e-02	1.000e+00
90190010154	F	5282.070	8.333e-04	1.000e+00
90190010155	F	5291.420	2.448e-02	1.000e+00
90190010156	F	5318.390	1.979e-03	1.000e+00
90190010157	F	5360.986	1.219e-02	1.000e+00
90190010158	F	5543.713	4.240e-02	1.000e+00
90190010159	F	5554.510	5.313e-03	1.000e+00
90190010160	F	5616.933	1.469e-02	1.000e+00
90190010161	F	5622.280	8.333e-04	1.000e+00
90190010162	F	5935.179	9.479e-03	1.000e+00
90190010163	F	5938.130	1.146e-03	1.000e+00
90190010164	F	6016.802	9.792e-02	1.000e+00
90190010165	F	6600.175	1.000e-01	1.000e+00
100200010001	Ne	350.720	5.914e-01	9.048e-01
100200010002	Ne	768.550	7.468e-03	9.048e-01
100200010003	Ne	869.500	2.031e-04	9.048e-01
100200010004	Ne	874.800	1.195e-03	9.048e-01
100200010005	Ne	964.410	8.663e-03	9.048e-01
100200010006	Ne	1071.340	1.613e-01	9.048e-01
100200010007	Ne	1890.400	1.075e-04	9.048e-01
100200010008	Ne	1931.080	1.765e-01	9.048e-01
100200010009	Ne	2035.670	7.318e-01	9.048e-01
100200010010	Ne	2077.230	6.123e-03	9.048e-01
100200010011	Ne	2437.840	1.075e-02	9.048e-01
100200010012	Ne	2788.630	2.151e-03	9.048e-01
100200010013	Ne	2793.940	2.688e-01	9.048e-01
100200010014	Ne	2895.320	7.527e-02	9.048e-01
100200010015	Ne	3097.250	2.479e-03	9.048e-01
100200010016	Ne	3311.920	1.822e-03	9.048e-01
100200010017	Ne	3966.510	4.182e-03	9.048e-01
100200010018	Ne	3971.980	1.165e-02	9.048e-01
100200010019	Ne	4333.190	3.435e-03	9.048e-01
100200010020	Ne	4374.130	5.705e-01	9.048e-01
100200010021	Ne	4683.620	2.688e-03	9.048e-01
100200010022	Ne	4725.100	1.494e-03	9.048e-01
100200010023	Ne	5641.000	2.569e-03	9.048e-01
100200010024	Ne	5688.970	6.392e-02	9.048e-01
100200010025	Ne	5991.710	4.720e-03	9.048e-01
100200010026	Ne	6409.390	5.377e-03	9.048e-01
100200010027	Ne	6760.060	6.273e-02	9.048e-01
100210010001	Ne	1274.542	1.001e+00	2.700e-03
100210010002	Ne	2082.500	6.117e-01	2.700e-03
100210010003	Ne	2165.900	4.671e-01	2.700e-03
100210010004	Ne	2987.800	4.783e-01	2.700e-03
100210010005	Ne	3181.800	2.669e-01	2.700e-03
100210010006	Ne	4018.300	5.005e-01	2.700e-03
100210010007	Ne	4248.200	7.229e-03	2.700e-03
100210010008	Ne	4456.000	8.342e-03	2.700e-03
100210010009	Ne	4634.830	2.336e-01	2.700e-03
100210010010	Ne	4840.100	2.113e-01	2.700e-03
100210010011	Ne	9087.300	1.557e-01	2.700e-03
100220010001	Ne	1017.000	7.128e-01	9.250e-02
100220010002	Ne	1364.800	2.162e-01	9.250e-02
100220010003	Ne	1398.100	2.138e-02	9.250e-02
100220010004	Ne	1822.400	1.236e-01	9.250e-02
100220010005	Ne	1979.890	7.271e-01	9.250e-02
100220010006	Ne	2013.800	9.504e-02	9.250e-02
100220010007	Ne	2203.580	5.655e-01	9.250e-02
100220010008	Ne	2819.220	1.236e-01	9.250e-02
100220010009	Ne	3220.420	1.354e-01	9.250e-02
100220010010	Ne	4183.200	2.851e-02	9.250e-02
110230010001	Na	90.992	4.434e-01	1.000e+00
110230010002	Na	499.381	2.698e-02	1.000e+00
110230010003	Na	501.347	5.925e-03	1.000e+00
110230010004	Na	504.561	2.604e-03	1.000e+00
110230010005	Na	552.510	1.264e-03	1.000e+00
110230010006	Na	563.192	1.604e-02	1.000e+00
110230010007	Na	614.250	1.321e-03	1.000e+00
110230010008	Na	711.967	8.113e-03	1.000e+00
110230010009	Na	737.210	0.000e+00	1.000e+00
110230010010	Na	773.640	7.245e-04	1.000e+00
110230010011	Na	778.221	1.094e-02	1.000e+00
110230010012	Na	781.435	3.302e-02	1.000e+00
110230010013	Na	793.830	3.981e-03	1.000e+00
110230010014	Na	810.640	1.698e-04	1.000e+00
